price,area,district,ward,has_air_conditioner,has_kitchen,has_fridge,has_wardrobe,has_bed,has_mattress,has_sofa,is_full_furniture,is_duplex,has_window,has_camera,has_security,is_free_time,near_school,near_market,near_supermarket,has_wifi,has_parking,has_balcony,washing_machine_type,wc_type,lock_type,water_type,area_group,price_per_sqm,amenity_score,location_score,has_private_facilities,security_score,log_price
4300000.0,31.0,10,1,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,unknown,unknown,unknown,unknown,center,138709.67741935485,3,2,0,1,15.274125813221904
3750000.0,15.0,bình thạnh,19,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,share,unknown,unknown,unknown,near_center,250000.0,7,2,0,0,15.137266664613225
4500000.0,35.0,7,bình thuận,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,unknown,unknown,card,unknown,south,128571.42857142857,2,0,0,2,15.319588176962746
7800000.0,35.0,7,bình thuận,False,True,True,False,True,False,True,True,True,False,False,True,False,False,False,True,False,False,True,unknown,unknown,unknown,unknown,south,222857.14285714287,6,1,0,1,15.86963441986494
3500000.0,15.0,phú nhuận,5,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,share,unknown,unknown,unknown,near_center,233333.33333333334,6,0,0,1,15.068273812173887
5000000.0,25.0,thủ đức,an phú,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,east,200000.0,2,0,0,0,15.424948670398354
5300000.0,45.0,7,tân quy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,unknown,unknown,unknown,unknown,south,117777.77777777778,1,0,0,0,15.483217567201578
3500000.0,35.0,gò vấp,9,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,unknown,unknown,unknown,unknown,outer,100000.0,1,0,0,0,15.068273812173887
4000000.0,20.0,bình thạnh,19,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,False,True,False,False,share,unknown,unknown,unknown,near_center,200000.0,7,2,0,0,15.201805169084134
4600000.0,30.0,tân bình,4,True,True,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,True,False,share,unknown,fingerprint,unknown,near_center,153333.33333333334,9,0,0,3,15.341567078850604
4800000.0,30.0,phú nhuận,15,True,False,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False,False,unknown,unknown,fingerprint,unknown,near_center,160000.0,4,1,0,2,15.38412668421143
2500000.0,17.5,tân bình,15,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,unknown,unknown,fingerprint,bottle,near_center,142857.14285714287,4,1,0,2,14.731801689838349
3900000.0,20.0,2,cát lái,True,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False,False,True,False,unknown,unknown,fingerprint,unknown,east,195000.0,4,0,0,2,15.176487367510099
6000000.0,42.0,thủ đức,trường thạnh,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,unknown,private,unknown,bottle,east,142857.14285714287,1,1,0,0,15.607270193858982
3000000.0,25.0,tân bình,13,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,share,unknown,unknown,unknown,near_center,120000.0,3,0,0,1,14.914123179965662
4000000.0,25.0,tân bình,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,unknown,unknown,unknown,unknown,near_center,160000.0,1,0,0,0,15.201805169084134
4000000.0,20.0,bình thạnh,21,True,True,True,True,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,share,private,fingerprint,bottle,near_center,200000.0,7,1,0,2,15.201805169084134
